PRICE,TYPE,LOC,AREA,TERRAIN,DISPONIBL MAINTEN,NEUF,CHAMBRE,PIECE,FLOOR,FLOORS,POINT,CENTROID,CENTROID W,PRED,CAT
1295000.0,APPART A VENDR,75003,65.1,0.0,0,0,1,2,1,1,"(65.1, 0.0, 0.0, 0.0, 1.0, 2.0, 1.0, 1.0)","(62.68333333333334, 0.0, 0.0, 0.0, 1.6666666666666667, 2.8333333333333335, 2.0, 2.8333333333333335)",37.0,983833.3333333334,"('APPART A VENDR', '75003')"
900000.0,APPART A VENDR,75019,96.0,0.0,0,0,3,4,5,13,,,,,"('APPART A VENDR', '75019')"
515000.0,APPART A VENDR,75017,44.0,0.0,0,0,1,2,5,6,"(44.0, 0.0, 0.0, 0.0, 1.0, 2.0, 5.0, 6.0)","(47.75454545454545, 0.0, 0.0, 0.09090909090909091, 1.5454545454545454, 2.5454545454545454, 2.4545454545454546, 4.454545454545454)",113.0,493545.45454545453,"('APPART A VENDR', '75017')"
1100000.0,APPART A VENDR,75003,73.2,0.0,0,0,2,3,3,3,"(73.2, 0.0, 0.0, 0.0, 2.0, 3.0, 3.0, 3.0)","(75.73333333333333, 0.0, 0.0, 0.0, 2.0, 3.3333333333333335, 2.6666666666666665, 2.6666666666666665)",37.0,1048333.3333333334,"('APPART A VENDR', '75003')"
530000.0,APPART A VENDR,75019,145.0,0.0,0,0,2,4,0,6,,,,,"('APPART A VENDR', '75019')"
1290000.0,APPART A VENDR,75010,123.0,0.0,0,0,4,5,5,6,,,,,"('APPART A VENDR', '75010')"
557000.0,APPART A VENDR,75011,45.4,0.0,0,0,1,2,0,0,"(45.4, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0)","(45.0125, 0.0, 0.0, 0.0, 1.125, 2.375, 2.125, 4.75)",49.0,455166.6666666667,"('APPART A VENDR', '75011')"
598000.0,APPART A VENDR,75017,46.6,0.0,0,0,1,2,1,5,"(46.6, 0.0, 0.0, 0.0, 1.0, 2.0, 1.0, 5.0)","(47.75454545454545, 0.0, 0.0, 0.09090909090909091, 1.5454545454545454, 2.5454545454545454, 2.4545454545454546, 4.454545454545454)",113.0,493545.45454545453,"('APPART A VENDR', '75017')"
845000.0,APPART A VENDR,75018,69.8,0.0,0,0,2,3,2,6,"(69.8, 0.0, 0.0, 0.0, 2.0, 3.0, 2.0, 6.0)","(70.575, 0.0, 0.0, 0.25, 2.0, 3.375, 5.125, 6.25)",119.0,661862.5,"('APPART A VENDR', '75018')"
535000.0,APPART A VENDR,93000,77.0,0.0,0,0,2,3,6,7,,,,,"('APPART A VENDR', '93000')"
780000.0,APPART A VENDR,75018,100.0,0.0,0,0,2,3,0,4,"(100.0, 0.0, 0.0, 0.0, 2.0, 3.0, 0.0, 4.0)","(100.15714285714286, 0.0, 0.0, 0.42857142857142855, 3.142857142857143, 4.428571428571429, 4.428571428571429, 5.857142857142857)",119.0,852357.1428571428,"('APPART A VENDR', '75018')"
645000.0,APPART A VENDR,75018,70.0,0.0,0,0,2,3,3,6,"(70.0, 0.0, 0.0, 0.0, 2.0, 3.0, 3.0, 6.0)","(70.575, 0.0, 0.0, 0.25, 2.0, 3.375, 5.125, 6.25)",119.0,661862.5,"('APPART A VENDR', '75018')"
