RAW,DATA TAG,PRICE,PRICE_UNIT,CLEANED TAG,TYPE,LOC,ALL AREA,AREA,TERRAIN,DISPONIBL MAINTEN,NEUF,CHAMBRE,PIECE,FLOOR,FLOORS
"Appartement à vendre - Neuf - Paris 20ème - 1 335 000 € - 4 pièces, 3 chambres, 98,9 m², 3ème étage","['APPART A VENDR', 'NEUF', 'PARIS 20EM', '4 PIEC', '3 CHAMBR', '98.9 M²', '3EM ETAG']",1335000.0,EUR,"('APPART A VENDR', 'NEUF', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75020,['98.9 M²'],98.9,0.0,0,1,3,4,3,3
"Appartement à vendre - Paris 14ème - 645 000 € - 1 pièce, 41,4 m², 4ème étage","['APPART A VENDR', 'PARIS 14EM', '1 PIEC', '41.4 M²', '4EM ETAG']",645000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'M²', 'ETAG')",APPART A VENDR,75014,['41.4 M²'],41.4,0.0,0,0,0,1,4,4
"Appartement à vendre - Paris 7ème - 3 220 000 € - 5 pièces, 3 chambres, 157 m², Étage 3/7","['APPART A VENDR', 'PARIS 7EM', '5 PIEC', '3 CHAMBR', '157 M²', 'ETAG 3/7']",3220000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75007,['157 M²'],157.0,0.0,0,0,3,5,3,7
"Appartement à vendre - Paris 16ème - 962 500 € - 4 pièces, 2 chambres, 78 m², Étage 4/6","['APPART A VENDR', 'PARIS 16EM', '4 PIEC', '2 CHAMBR', '78 M²', 'ETAG 4/6']",962500.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75016,['78 M²'],78.0,0.0,0,0,2,4,4,6
"Appartement à vendre - Paris 16ème - 4 190 000 € - 8 pièces, 5 chambres, 256,6 m², RDC/9","['APPART A VENDR', 'PARIS 16EM', '8 PIEC', '5 CHAMBR', '256.6 M²', 'RDC/9']",4190000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'RDC')",APPART A VENDR,75016,['256.6 M²'],256.6,0.0,0,0,5,8,0,9
"Duplex à vendre - Paris 7ème - 4 800 000 € - 8 pièces, 5 chambres, 250 m², Étage 5/5","['DUPLEX A VENDR', 'PARIS 7EM', '8 PIEC', '5 CHAMBR', '250 M²', 'ETAG 5/5']",4800000.0,EUR,"('DUPLEX A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",DUPLEX A VENDR,75007,['250 M²'],250.0,0.0,0,0,5,8,5,5
"Appartement à vendre - Paris 6ème - 3 695 000 € - 5 pièces, 2 chambres, 131 m², Étage 2/4","['APPART A VENDR', 'PARIS 6EM', '5 PIEC', '2 CHAMBR', '131 M²', 'ETAG 2/4']",3695000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75006,['131 M²'],131.0,0.0,0,0,2,5,2,4
"Duplex à vendre - Boulogne-Billancourt - 680 000 € - 5 pièces, 3 chambres, 100,2 m², Étage 1/5","['DUPLEX A VENDR', 'BOULOGN BILLANCOURT', '5 PIEC', '3 CHAMBR', '100.2 M²', 'ETAG 1/5']",680000.0,EUR,"('DUPLEX A VENDR', 'BOULOGN BILLANCOURT', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",DUPLEX A VENDR,92000,['100.2 M²'],100.2,0.0,0,0,3,5,1,5
"Appartement à vendre - Paris 4ème - 590 000 € - 2 pièces, 1 chambre, 32,8 m², Étage 2/4","['APPART A VENDR', 'PARIS 4EM', '2 PIEC', '1 CHAMBR', '32.8 M²', 'ETAG 2/4']",590000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75004,['32.8 M²'],32.8,0.0,0,0,1,2,2,4
"Appartement à vendre - Paris 5ème - 2 490 000 € - 4 pièces, 2 chambres, 92 m², Étage 4/6","['APPART A VENDR', 'PARIS 5EM', '4 PIEC', '2 CHAMBR', '92 M²', 'ETAG 4/6']",2490000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75005,['92 M²'],92.0,0.0,0,0,2,4,4,6
"Duplex à vendre - Paris 7ème - 940 000 € - 2 pièces, 1 chambre, 41 m², Étage 2/4","['DUPLEX A VENDR', 'PARIS 7EM', '2 PIEC', '1 CHAMBR', '41 M²', 'ETAG 2/4']",940000.0,EUR,"('DUPLEX A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",DUPLEX A VENDR,75007,['41 M²'],41.0,0.0,0,0,1,2,2,4
"Appartement à vendre - Neuf - Paris 15ème - 660 000 € - 2 pièces, 1 chambre, 54 m², 1er étage","['APPART A VENDR', 'NEUF', 'PARIS 15EM', '2 PIEC', '1 CHAMBR', '54 M²', '1ER ETAG']",660000.0,EUR,"('APPART A VENDR', 'NEUF', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75015,['54 M²'],54.0,0.0,0,1,1,2,1,1
"Maison à vendre - Neuf - Paris 20ème - 1 190 000 € - 3 pièces, 77,8 m²","['MAISON A VENDR', 'NEUF', 'PARIS 20EM', '3 PIEC', '77.8 M²']",1190000.0,EUR,"('MAISON A VENDR', 'NEUF', 'PARIS', 'PIEC', 'M²')",MAISON A VENDR,75020,['77.8 M²'],77.8,0.0,0,1,2,3,0,0
